-1,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,18.396,131.4,176.952,87.6,50.808,3.504,0,0,0,0,0
1.25,0,0,0,2.628,366.168,611.448,501.072,299.592,56.064,0,0,0,0,0
1.75,0,0,0,0,142.788,623.712,593.928,438,125.268,12.264,0,0,0,0
2.25,0,0,0,0,10.512,333.756,495.816,342.516,155.052,34.164,5.256,0,0,0
2.75,0,0,0,0,0,121.764,522.096,377.556,190.968,35.916,0,0,0,0
3.25,0,0,0,0,0,13.14,317.112,280.32,169.944,22.776,9.636,0,0,0
3.75,0,0,0,0,0,0,115.632,190.968,83.22,20.148,4.38,0.876,0,0
4.25,0,0,0,0,0,0,28.908,141.912,67.452,10.512,0.876,0,0,0
4.75,0,0,0,0,0,0,2.628,74.46,69.204,12.264,0,0,0,0
5.25,0,0,0,0,0,0,0,13.14,45.552,15.768,0,0,0,0
5.75,0,0,0,0,0,0,0,2.628,36.792,12.264,1.752,0,0,0
6.25,0,0,0,0,0,0,0,0.876,23.652,18.396,2.628,0,0,0
6.75,0,0,0,0,0,0,0,0,1.752,23.652,2.628,1.752,0,0
7.25,0,0,0,0,0,0,0,0,0.876,9.636,1.752,3.504,0,0
7.75,0,0,0,0,0,0,0,0,0,5.256,1.752,0,0,0
8.25,0,0,0,0,0,0,0,0,0,2.628,3.504,1.752,1.752,0
8.75,0,0,0,0,0,0,0,0,0,1.752,1.752,4.38,0.876,0
9.25,0,0,0,0,0,0,0,0,0,1.752,3.504,1.752,0,0
9.75,0,0,0,0,0,0,0,0,0,0,2.628,0,0,0
10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.75,0,0,0,0,0,0,0,0,0,0,2.628,0,0,0
11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
